run_id,model,segment,epoch,step,epoch_training_seconds,epoch_validation_seconds,epoch_checkpoint_seconds,wall_seconds,peak_allocated_bytes,peak_reserved_bytes
dynunet-control10k-seed0,dynunet,current,19,1900,22.676006875932217,5.513429641723633e-07,0.46578269824385643,605.3607947975397,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,20,2000,22.625256896018982,70.45463394746184,0.5072704367339611,698.908570587635,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,21,2100,22.716097190976143,8.67992639541626e-07,0.4197279214859009,722.1368410661817,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,22,2200,22.596959240734577,6.556510925292969e-07,0.4594571441411972,745.1554143242538,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,23,2300,22.605111964046955,4.362314939498901e-06,0.4678089804947376,768.2221770845354,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,24,2400,22.625209990888834,7.078051567077637e-07,0.4622468203306198,791.3173644207418,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,25,2500,22.625534553080797,9.275972843170166e-07,0.45843764394521713,814.4074510857463,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,26,2600,22.61095218360424,8.307397365570068e-07,0.45519595965743065,837.4789794832468,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,27,2700,22.605721682310104,2.4177134037017822e-06,0.4556414857506752,860.5420560389757,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,28,2800,22.62345301359892,6.705522537231445e-07,0.45821932330727577,883.623349532485,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,29,2900,22.6246093288064,6.817281246185303e-07,0.4634206034243107,906.7082847468555,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,30,3000,22.63048827648163,78.46329287439585,0.5071399919688702,1008.2677150629461,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,31,3100,22.5326877720654,7.7858567237854e-07,0.4413670673966408,1031.3124236948788,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,32,3200,22.588467467576265,6.701797246932983e-06,0.46816155314445496,1054.344057392329,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,33,3300,22.61513986811042,7.82310962677002e-07,0.47006895393133163,1077.4297910295427,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,34,3400,22.606192458420992,7.525086402893066e-07,0.47022270783782005,1100.508521284908,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,35,3500,22.612025942653418,7.599592208862305e-07,0.46771159395575523,1123.5927344039083,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,36,3600,22.62347436696291,8.344650268554688e-07,0.4691339544951916,1146.686036683619,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,37,3700,22.62204211950302,9.08970832824707e-07,0.47364214435219765,1169.7796637639403,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,38,3800,22.635498344898224,7.711350917816162e-07,0.5117054507136345,1192.8910889811814,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,39,3900,22.769611168652773,3.427267074584961e-06,0.5083754546940327,1216.174727767706,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,40,4000,22.64939794689417,72.79450434073806,0.5136911459267139,1312.1290873587132,8171400704.0,11270094848.0
dynunet-control10k-seed0,dynunet,current,41,4100,22.536441534757614,8.195638656616211e-07,0.4568476788699627,1335.183980025351,8171400704.0,11270094848.0
