priority,model,status,training_crop_height,training_crop_width,training_gpu_count,training_batch_size_per_gpu,training_gradient_accumulation,training_effective_batch_size,training_workers,training_precision,training_optimizer,training_backbone_lr,training_fresh_component_lr,training_head_lr_multiplier,training_weight_decay,training_llrd,training_warmup_iterations,training_warmup_ratio,training_poly_power,training_gradient_clip,training_ema_decay,training_validation_interval,training_checkpoint_interval,training_objective,cityscapes_miou_mean,cityscapes_seeds,cityscapes_iterations_current,cityscapes_iterations_target,cityscapes_parameters,cityscapes_final_checkpoint_bytes,cityscapes_train_wall_clock_s_mean,cityscapes_gpu_hours_mean,cityscapes_train_peak_vram_bytes_per_device,cityscapes_full_validation_images_per_s_mean,railsem19_miou_mean,railsem19_seeds,railsem19_iterations_current,railsem19_iterations_target,railsem19_parameters,railsem19_final_checkpoint_bytes,railsem19_train_wall_clock_s_mean,railsem19_gpu_hours_mean,railsem19_train_peak_vram_bytes_per_device,railsem19_full_validation_images_per_s_mean,cityscapes_to_railsem19_miou_mean,cityscapes_to_railsem19_seeds,cityscapes_to_railsem19_iterations_current,cityscapes_to_railsem19_iterations_target,cityscapes_to_railsem19_parameters,cityscapes_to_railsem19_final_checkpoint_bytes,cityscapes_to_railsem19_train_wall_clock_s_mean,cityscapes_to_railsem19_gpu_hours_mean,cityscapes_to_railsem19_train_peak_vram_bytes_per_device,cityscapes_to_railsem19_full_validation_images_per_s_mean,standardized_inference_fps,standardized_inference_resident_parameter_bytes,standardized_inference_latency_ms,standardized_inference_latency_p50_ms,standardized_inference_latency_p95_ms,standardized_inference_peak_vram_bytes,standardized_inference_status
21,smp_fpn_resnet50,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.7707691765575488,1,40000,40000,,418721249,,,,7.253523370057212,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
22,smp_upernet_mit_b0,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,0.6656356198877775,1,40000,40000,10737525,172225271,52512.34418872744,14.58676227464651,7180648448,4.838958224226519,,0,0,20000,,,,,,,54.01791412267686,42950100,18.512377166748045,18.46062469482422,18.749904823303222,1172307968,complete
23,segformer_b0,running,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,0.748090915073854,1,40000,40000,,59851534,,,,8.007986202583997,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
24,hf_auto_segformer_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,6e-05,0.0006000000000000001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
25,smp_unet_resnet34,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
26,smp_unetplusplus_efficientnet_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
27,smp_manet_efficientnet_b0,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
28,native_efficientnet_b0_deeplabv3plus,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
29,hf_auto_mobilevitv2_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
30,hf_auto_mobilevit_xxs_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
31,hf_auto_mobilenetv2_deeplabv3,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
32,native_mobilenetv3_large_deeplabv3plus,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
33,native_mobilenetv3_large_lraspp,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
34,smp_pspnet_mobilenet_v2,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
35,smp_linknet_mobilenet_v2,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
36,native_resnet18_fpn_segformer_aux,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
37,native_resnet18_fpn_fcn,queued,1024,1024,1,2,8,16,8,bf16-mixed,AdamW,0.0001,0.001,10.0,0.05,1.0,1500,1e-06,0.9,1.0,0.9998,4000,4000,dense_semantic,,0,0,40000,,,,,,,,0,0,40000,,,,,,,,0,0,20000,,,,,,,,,,,,,pending
